repo_name,repoType,sizeUsers,status,lifeSpan,authors,commits,pulls,issues,comments,reviews,language
queicherius/mocha-checkmark-reporter,User,1,Dead,28,1,7,0,0,0,0,NPM
queicherius/pagespeed-cli,User,2,Dead,28,2,18,1,0,1,0,NPM
queicherius/promise-control-flow,User,2,Dead,51,3,34,3,1,13,0,NPM
queicherius/raven-blacklist,User,2,Dead,27,2,4,0,1,0,0,NPM
queicherius/react-globe,User,2,Dead,27,3,35,2,5,2,0,NPM
queicherius/react-globe-cli,User,2,Dead,27,3,16,2,0,1,0,NPM
queicherius/sh-watch,User,1,Dead,28,1,8,0,0,0,0,NPM
queicherius/simple-worker,User,2,Dead,45,3,96,13,10,57,0,NPM
queicherius/sum-by,User,2,Dead,41,5,19,6,1,18,0,NPM
rajathavalam/express-mvc-generator,User,3,Alive,58,19,10,0,11,24,0,NPM
raphaelbs/socketio-server,User,1,Dead,25,1,19,0,0,0,0,NPM
riyadhalnur/npm-modules-sync,User,3,Alive,56,11,179,114,13,637,28,NPM
ryu1kn/csv-writer,User,3,Alive,62,108,176,14,66,258,3,NPM
sagold/gson-query,User,3,Alive,57,7,175,15,2,14,0,NPM
sagold/json-schema-library,User,3,Alive,59,8,487,6,8,18,0,NPM
sahildua2305/text-watermark,User,3,Dead,54,6,28,1,6,4,1,NPM
sawa-zen/zenpad.js,User,1,Dead,13,1,176,0,0,0,0,NPM
sbolel/ionic-image-upload,User,2,Dead,10,3,9,3,2,5,0,NPM
scalarwaves/iloa,User,2,Dead,30,3,111,2,14,9,0,NPM
sellerlabs/ui-beakers,Organization,3,Dead,9,8,34,7,0,12,12,NPM
servel333/vogels-promisified,User,2,Dead,17,5,19,1,2,7,0,NPM
sgnl/nodeku,User,3,Dead,18,6,176,14,12,24,3,NPM
sgnl/punc,User,2,Dead,20,2,127,1,5,2,0,NPM
signaes/spirals,User,1,Alive,56,1,34,12,0,3,0,NPM
simonewebdesign/elm-new,User,2,Dead,48,4,127,17,4,7,0,NPM
sindresorhus/alfred-emoj,User,3,Alive,59,57,28,6,21,106,8,NPM
sindresorhus/alfred-npms,User,3,Alive,59,32,48,13,17,136,16,NPM
sindresorhus/bitbar,User,3,Alive,63,22,43,14,16,68,10,NPM
sindresorhus/conf,User,3,Alive,63,174,157,82,73,978,315,NPM
sindresorhus/electron-store,User,3,Alive,64,613,96,30,174,651,40,NPM
sindresorhus/eslint-formatter-pretty,User,3,Alive,61,35,66,32,22,127,30,NPM
sindresorhus/fast-cli,User,3,Alive,64,131,49,27,40,201,23,NPM
sindresorhus/p-queue,User,3,Alive,59,375,115,60,96,654,145,NPM
sindresorhus/term-img,User,3,Alive,62,16,34,7,8,15,4,NPM
sindresorhus/term-img-cli,User,2,Alive,62,4,17,2,2,4,0,NPM
sodexounofficial/sodexo,Organization,2,Dead,38,5,16,1,3,6,0,NPM
spali/ng2-movable,User,3,Alive,53,10,22,2,12,42,0,NPM
strugee/node-git-clone-or-pull,User,3,Dead,49,8,114,17,18,76,0,NPM
sulfureux/maven-cli,Organization,1,Dead,8,1,6,0,0,0,0,NPM
sumanjs/suman-utils,Organization,1,Dead,27,1,232,1,2,0,0,NPM
taoalpha/npm-trending,User,2,Alive,59,5,6223,31,2,159,0,NPM
tclindner/grunt-npm-package-json-lint,User,2,Dead,48,2,112,77,2,3,0,NPM
tclindner/npm-package-json-lint,User,3,Alive,66,70,430,417,82,429,73,NPM
thatisuday/npm-time-ago,User,2,Dead,18,5,4,1,3,5,0,NPM
thecreation/assets-manager,User,1,Dead,26,1,56,0,0,0,0,NPM
thedgmbh/multi-rest,Organization,3,Dead,18,7,86,3,3,10,0,NPM
theforeman/npm2rpm,Organization,3,Alive,56,20,99,49,18,172,74,NPM
tilfin/s3-block-read-stream,User,2,Dead,18,2,19,3,0,2,0,NPM
urbanjs/urbanjs-tools,Organization,2,Dead,21,4,236,1,3,9,0,NPM
vaeum/roboto-npm-webfont,Organization,2,Dead,19,4,16,4,3,2,0,NPM
vajahath/is-good-json,User,2,Dead,13,4,27,4,0,7,1,NPM
valeriansaliou/node-fast-ratelimit,User,3,Alive,67,28,96,10,10,45,0,NPM
veliovgroup/josk,Organization,2,Zombie,51,5,107,4,3,19,1,NPM
veliovgroup/ostrio-analytics,Organization,2,Dead,47,2,58,0,2,14,0,NPM
veliovgroup/spiderable-middleware,Organization,3,Alive,67,8,160,7,6,39,0,NPM
vivaxy/impression,User,2,Dead,33,4,113,16,7,13,0,NPM
vladgolubev/missing-deep-keys,User,2,Dead,44,3,19,2,0,1,0,NPM
voyagegroup/eslint-config-fluct,Organization,3,Dead,43,7,249,92,56,420,28,NPM
vrinceanuv/devanilla,User,1,Dead,11,1,80,0,0,0,0,NPM
vuejs/eslint-plugin-vue,Organization,3,Alive,61,4088,910,754,900,5002,1127,NPM
warlock/argcon,User,1,Dead,16,1,23,1,0,0,0,NPM
warlock/boilerpipe-scraper,User,2,Dead,46,3,38,0,1,0,0,NPM
warlock/eem,User,1,Dead,15,1,34,1,0,0,0,NPM
wikimedia/eslint-config-node-services,Organization,3,Dead,28,15,65,27,6,83,10,NPM
wildpeaks/archived--package-preact-component-html,Organization,2,Dead,51,4,324,159,2,7,0,NPM
wildpeaks/archived-package-dom-entry-context,Organization,2,Dead,49,4,464,234,3,29,0,NPM
wildpeaks/archived-package-preact-test-utils,Organization,1,Dead,31,1,16,1,0,0,0,NPM
wildpeaks/package-frozen,Organization,2,Alive,59,4,1027,507,2,76,0,NPM
wildpeaks/package-preact-render-worker,Organization,2,Dead,34,2,90,50,1,11,0,NPM
wildpeaks/package-snapshot-dom,Organization,2,Alive,60,5,544,247,5,28,0,NPM
wildpeaks/package-store,Organization,2,Alive,58,4,1537,910,3,248,0,NPM
wildpeaks/packages-eslint-config,Organization,3,Alive,60,7,814,306,7,139,0,NPM
williambelle/princess-names,User,1,Alive,58,1,124,0,0,0,0,NPM
xpl/ansicolor,User,3,Alive,59,12,260,7,9,31,0,NPM
yui540/onsen-node,User,2,Dead,46,3,29,0,1,0,0,NPM
ziyasal/scientist.js,User,3,Dead,40,11,35,3,1,3,0,NPM
zkiiito/node-sbrick-protocol,User,2,Dead,41,4,65,5,3,11,0,NPM
achubaty/grainscape,User,2,Zombie,65,11,490,1,64,191,1,R
bearloga/cablecuttr,User,2,Dead,40,4,18,2,3,3,0,R
boettiger-lab/sarsop,Organization,2,Alive,65,6,348,31,11,87,0,R
calbertsen/covafillr,User,1,Dead,45,1,152,0,0,0,0,R
cjyetman/memberstates,User,2,Dead,38,4,18,0,4,10,0,R
cloudyr/aws.dynamodb,Organization,2,Dead,37,8,10,0,3,6,0,R
cloudyr/awspack,Organization,1,Dead,48,2,36,0,7,6,0,R
cloudyr/ghit,Organization,2,Dead,28,14,95,6,25,56,0,R
contefranz/msmtools,User,1,Alive,60,2,133,0,6,7,0,R
daattali/colourpicker,User,3,Alive,62,29,122,7,39,145,23,R
daattali/shinyalert,User,3,Alive,60,39,84,7,53,185,8,R
daattali/timevis,User,3,Alive,62,99,138,17,98,407,2,R
diegovalle/mxmaps,User,1,Alive,68,3,218,0,12,9,0,R
eddelbuettel/gaussfacts,User,1,Alive,61,3,26,3,1,9,1,R
eddelbuettel/gettz,User,1,Alive,57,3,23,3,2,11,0,R
eddelbuettel/nanotime,User,3,Alive,58,21,287,48,45,439,55,R
eddelbuettel/rcppmsgpack,User,1,Alive,68,3,82,15,2,33,9,R
eddelbuettel/tint,User,3,Alive,60,36,126,25,24,193,1,R
erictleung/flowers,User,1,Alive,0,1,1,0,0,0,0,R
fsolt/icpsrdata,User,2,Dead,50,7,71,1,3,12,1,R
fsolt/pewdata,User,2,Alive,59,4,96,1,5,5,0,R
fsolt/ropercenter,User,2,Dead,51,6,97,0,8,32,0,R
giscience-fsu/sperrorest,Organization,2,Alive,57,10,963,33,32,40,0,R
gshs-ornl/wbstats,Organization,3,Zombie,65,29,154,5,30,67,0,R
hmalmedal/stringaddins,User,1,Dead,35,1,14,0,0,0,0,R
hoxo-m/densratio,User,2,Dead,58,7,60,6,4,9,0,R
hoxo-m/magicfor,User,1,Dead,42,3,31,0,6,0,0,R
jacob-long/jtools,User,3,Alive,58,88,971,13,96,124,0,R
jaredhuling/oem,User,2,Alive,63,14,319,2,22,36,0,R
jeroen/agent,User,1,Dead,19,3,10,1,2,3,0,R
jforbes14/eechidna,User,3,Dead,58,22,608,13,25,76,0,R
jhollist/elevatr,User,3,Alive,62,52,268,7,55,221,0,R
krisrs1128/treelapse,User,1,Dead,39,3,560,103,82,14,0,R
ksawicka/spup,User,1,Dead,52,3,385,2,1,1,0,R
kunstler/laselva,User,2,Alive,57,7,61,1,14,61,0,R
leeper/crandatapkgs,User,2,Dead,25,4,48,2,61,9,0,R
leeper/responserates,User,1,Dead,22,1,11,0,4,0,0,R
